ecosystem,component_name,component_version,purl,vulnerability_id,cve,vulnerability_description,is_vulnerable
maven,com.google.guava:guava,20.0,pkg:maven/com.google.guava/guava@20.0,GHSA-5mg8-w23w-74h3,CVE-2020-8908,Information Disclosure in Guava,True
maven,com.google.guava:guava,20.0,pkg:maven/com.google.guava/guava@20.0,GHSA-7g45-4rm6-3mm3,CVE-2023-2976,Guava vulnerable to insecure use of temporary directory,True
maven,com.google.guava:guava,20.0,pkg:maven/com.google.guava/guava@20.0,GHSA-mvr2-9pj6-7w5j,CVE-2018-10237,Denial of Service in Google Guava,True
maven,org.apache.logging.log4j:log4j-core,2.25.0,pkg:maven/org.apache.logging.log4j/log4j-core@2.25.0,GHSA-vc5p-v9hr-52mj,,Apache Log4j does not verify the TLS hostname in its Socket Appender,True
maven,org.apache.ant:ant,1.10.9,pkg:maven/org.apache.ant/ant@1.10.9,GHSA-5v34-g2px-j4fw,CVE-2021-36374,Improper Handling of Length Parameter Inconsistency in Apache Ant,True
maven,org.apache.ant:ant,1.10.9,pkg:maven/org.apache.ant/ant@1.10.9,GHSA-q5r4-cfpx-h6fh,CVE-2021-36373,Improper Handling of Length Parameter Inconsistency in Apache Ant,True
maven,org.yaml:snakeyaml,1.29,pkg:maven/org.yaml/snakeyaml@1.29,GHSA-3mc7-4q67-w48m,CVE-2022-25857,Uncontrolled Resource Consumption in snakeyaml,True
maven,org.yaml:snakeyaml,1.29,pkg:maven/org.yaml/snakeyaml@1.29,GHSA-98wm-3w3q-mw94,CVE-2022-38751,snakeYAML before 1.31 vulnerable to Denial of Service due to Out-of-bounds Write,True
maven,org.yaml:snakeyaml,1.29,pkg:maven/org.yaml/snakeyaml@1.29,GHSA-9w3m-gqgf-c4p9,CVE-2022-38752,snakeYAML before 1.32 vulnerable to Denial of Service due to Out-of-bounds Write,True
maven,org.yaml:snakeyaml,1.29,pkg:maven/org.yaml/snakeyaml@1.29,GHSA-c4r9-r8fh-9vj2,CVE-2022-38749,snakeYAML before 1.31 vulnerable to Denial of Service due to Out-of-bounds Write,True
